source,group
1087,1
1609,1
1890,1
1905,1
2369,1
2616,1
2623,1
2790,1
3030,1
3672,1
3762,1
4249,1
4319,1
4630,1
4670,1
4778,1
4880,1
5040,1
5078,1
5228,1
5255,1
5281,1
5680,1
5819,1
6312,1
635,1
6473,1
6562,1
6683,1
6749,1
7057,1
7102,1
7130,1
7168,1
7219,1
7292,1
7613,1
7676,1
7730,1
7771,1
8158,1
8172,1
8264,1
8380,1
8495,1
8718,1
8733,1
8763,1
8773,1
8957,1
92,1
9259,1
9281,1
9368,1
9624,1
9646,1
9664,1
9715,1
9752,1
9784,1
9911,1
9924,1
9975,1
9993,1
2011,2
2325,2
2344,2
2776,2
2872,2
2880,2
3118,2
3807,2
3872,2
4294,2
6886,2
7033,2
7127,2
7356,2
7426,2
8260,2
8266,2
8338,2
8552,2
8829,2
8850,2
9134,2
9155,2
9218,2
9251,2
9308,2
9653,2
9705,2
9744,2
9753,2
9762,2
9853,2
9856,2
9881,2
9894,2
1376,3
3190,3
3354,3
5184,3
5644,3
5722,3
5730,3
6290,3
6294,3
6449,3
6530,3
6728,3
7084,3
7301,3
7515,3
7863,3
8337,3
8476,3
8515,3
8568,3
9316,3
9603,3
9680,3
9711,3
9737,3
9766,3
9926,3
1503,4
2394,4
5049,4
6642,4
6743,4
7119,4
7377,4
7714,4
8246,4
8299,4
8687,4
8785,4
8929,4
9006,4
9014,4
9158,4
9283,4
9328,4
9448,4
9587,4
9746,4
9912,4
9976,4
9989,4
2160,5
2185,5
3046,5
347,5
4338,5
4607,5
6371,5
6601,5
7048,5
7152,5
7161,5
7825,5
7915,5
8724,5
8759,5
8999,5
9151,5
9773,5
9816,5
9959,5
9964,5
3407,6
5070,6
6355,6
6356,6
6701,6
7043,6
7087,6
7223,6
7767,6
8501,6
9118,6
9122,6
9186,6
9232,6
9588,6
9695,6
9710,6
9847,6
9957,6
9994,6
1136,7
2274,7
2626,7
5491,7
6033,7
6043,7
6136,7
6739,7
7394,7
8159,7
8453,7
9201,7
9372,7
9541,7
9658,7
9776,7
9788,7
9907,7
4019,8
4357,8
6194,8
6567,8
6867,8
6997,8
7114,8
7120,8
7502,8
76,8
7608,8
8296,8
9004,8
9310,8
9346,8
9453,8
9538,8
9772,8
2097,9
2559,9
4158,9
4905,9
5374,9
5942,9
7229,9
8090,9
8225,9
9073,9
9119,9
9189,9
945,9
9607,9
9629,9
9734,9
9999,9
1717,10
2071,10
2174,10
2750,10
3209,10
3512,10
3669,10
5067,10
5304,10
6272,10
633,10
8307,10
8625,10
8663,10
9667,10
9963,10
9981,10
1977,11
3064,11
3901,11
4094,11
5256,11
7089,11
7146,11
7577,11
7585,11
7702,11
7777,11
9257,11
9713,11
9726,11
9863,11
9940,11
2348,12
4300,12
4929,12
5817,12
6737,12
6776,12
7462,12
8170,12
8187,12
8798,12
8855,12
9401,12
9783,12
9920,12
9950,12
4392,13
4733,13
6912,13
748,13
8125,13
8326,13
8617,13
8859,13
9235,13
9363,13
9530,13
9702,13
9745,13
9793,13
1172,14
2809,14
3166,14
3515,14
5991,14
6072,14
8069,14
9055,14
9072,14
9397,14
9879,14
9983,14
9995,14
1429,15
1743,15
1761,15
2291,15
5962,15
6204,15
8247,15
8570,15
9047,15
9535,15
964,15
9782,15
9922,15
1346,16
151,16
3679,16
3983,16
4050,16
4356,16
5508,16
6075,16
8776,16
9394,16
9481,16
9723,16
9955,16
423,17
5136,17
5956,17
62,17
7748,17
798,17
8938,17
9231,17
9764,17
9861,17
9943,17
9945,17
1797,18
3123,18
4712,18
5143,18
7270,18
8093,18
9156,18
9307,18
9356,18
9939,18
9977,18
9980,18
4280,19
4341,19
5983,19
6080,19
6650,19
6699,19
6712,19
7345,19
7370,19
8079,19
9997,19
1274,20
2545,20
2621,20
3234,20
3648,20
4040,20
5428,20
7334,20
8080,20
9840,20
9998,20
3212,21
5572,21
7619,21
770,21
8317,21
8355,21
9064,21
9662,21
9714,21
2255,22
3399,22
3779,22
5050,22
8061,22
8369,22
9592,22
9706,22
9860,22
2615,23
3348,23
4780,23
5247,23
6799,23
7939,23
9687,23
9775,23
9780,23
1254,24
3275,24
3300,24
4339,24
7162,24
7324,24
9654,24
9808,24
6185,25
7139,25
7159,25
7289,25
8878,25
9015,25
9841,25
9886,25
6116,26
7140,26
7164,26
8792,26
8909,26
8946,26
9052,26
9986,26
4267,27
4340,27
4677,27
4783,27
7132,27
8209,27
9245,27
9729,27
2029,28
3888,28
7567,28
7637,28
7710,28
8022,28
8400,28
9174,28
2581,29
5870,29
6149,29
7055,29
8308,29
8704,29
8764,29
8884,29
3774,30
5105,30
5125,30
7600,30
8502,30
8518,30
9627,30
2704,31
3071,31
3160,31
5702,31
6716,31
7731,31
9164,31
4477,32
6698,32
6719,32
8024,32
8790,32
8893,32
9760,32
1779,33
5465,33
6011,33
6164,33
7644,33
8862,33
9696,33
5060,34
6316,34
6375,34
9187,34
9387,34
9661,34
9903,34
2212,35
6069,35
6792,35
8252,35
9126,35
9610,35
9628,35
1173,36
5361,36
7078,36
7908,36
9114,36
9518,36
9996,36
3620,37
4274,37
5098,37
532,37
5975,37
8088,37
9972,37
106,38
4170,38
4233,38
5706,38
7382,38
7960,38
9987,38
2319,39
4671,39
647,39
6721,39
8239,39
9528,39
9936,39
1615,40
6676,40
7053,40
8744,40
9137,40
9754,40
9859,40
6568,41
7525,41
8546,41
9469,41
9484,41
9613,41
9690,41
1208,42
2607,42
472,42
4842,42
5292,42
7149,42
8015,42
3305,43
4138,43
5069,43
5080,43
6102,43
612,43
9651,43
3024,44
4613,44
5275,44
9094,44
9214,44
9770,44
9923,44
4205,45
474,45
5366,45
5376,45
8708,45
9789,45
1644,46
1646,46
1820,46
4257,46
9672,46
9946,46
5964,47
6302,47
6599,47
7735,47
8983,47
9709,47
2013,48
2020,48
5765,48
7917,48
8480,48
9058,48
3866,49
4516,49
4986,49
9108,49
9608,49
9971,49
